video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (15).mp4,1,0.033,0.7486,10,4.0,360x640,0.00222,spark_0001.jpg
Turbothrill (15).mp4,19,0.633,0.7591,976,679.5,360x640,0.00275,spark_0019.jpg
Turbothrill (15).mp4,20,0.667,0.7983,681,498.0,360x640,0.00231,spark_0020.jpg
Turbothrill (15).mp4,21,0.7,0.7373,1006,728.0,360x640,0.00228,spark_0021.jpg
Turbothrill (15).mp4,23,0.767,0.7311,386,267.0,360x640,0.00207,spark_0023.jpg
Turbothrill (15).mp4,29,0.967,0.7559,964,677.0,360x640,0.0025,spark_0029.jpg
Turbothrill (15).mp4,31,1.033,0.7132,804,541.5,360x640,0.00239,spark_0031.jpg
Turbothrill (15).mp4,36,1.2,0.8083,1300,833.5,360x640,0.00352,spark_0036.jpg
Turbothrill (15).mp4,60,2.0,0.6348,148,81.5,360x640,0.00196,spark_0060.jpg
Turbothrill (15).mp4,81,2.7,0.8012,219,136.0,360x640,0.00285,spark_0081.jpg
Turbothrill (15).mp4,90,3.0,0.727,225,119.5,360x640,0.00164,spark_0090.jpg
Turbothrill (15).mp4,115,3.833,0.6099,78,46.0,360x640,0.0015,spark_0115.jpg
Turbothrill (15).mp4,142,4.733,0.7287,52,27.5,360x640,0.00153,spark_0142.jpg
Turbothrill (15).mp4,145,4.833,0.5913,103,78.5,360x640,0.00141,spark_0145.jpg
Turbothrill (15).mp4,155,5.167,0.7421,20,11.0,360x640,0.00173,spark_0155.jpg
Turbothrill (15).mp4,208,6.933,0.7881,480,362.5,360x640,0.00172,spark_0208.jpg
Turbothrill (15).mp4,212,7.067,0.7232,798,624.5,360x640,0.00189,spark_0212.jpg
Turbothrill (15).mp4,215,7.167,0.7868,248,173.5,360x640,0.00161,spark_0215.jpg
Turbothrill (15).mp4,217,7.233,0.7717,817,508.0,360x640,0.00177,spark_0217.jpg
Turbothrill (15).mp4,219,7.3,0.7918,925,667.0,360x640,0.00192,spark_0219.jpg
Turbothrill (15).mp4,232,7.733,0.5254,28,14.5,360x640,0.00148,spark_0232.jpg
Turbothrill (15).mp4,244,8.133,0.5278,70,50.0,360x640,0.00136,spark_0244.jpg
Turbothrill (15).mp4,252,8.4,0.7533,24,13.5,360x640,0.00155,spark_0252.jpg
Turbothrill (15).mp4,262,8.733,0.3651,44,13.5,360x640,0.00198,spark_0262.jpg
Turbothrill (15).mp4,274,9.133,0.6156,91,46.0,360x640,0.00163,spark_0274.jpg
Turbothrill (15).mp4,307,10.233,0.7377,145,83.0,360x640,0.00196,spark_0307.jpg
Turbothrill (15).mp4,308,10.267,0.7684,204,153.5,360x640,0.00169,spark_0308.jpg
Turbothrill (15).mp4,310,10.333,0.6875,164,97.5,360x640,0.00163,spark_0310.jpg
Turbothrill (15).mp4,313,10.433,0.7446,179,107.0,360x640,0.00161,spark_0313.jpg
Turbothrill (15).mp4,314,10.467,0.7974,606,410.0,360x640,0.00203,spark_0314.jpg
Turbothrill (15).mp4,317,10.567,0.4355,99,55.0,360x640,0.0018,spark_0317.jpg
Turbothrill (15).mp4,319,10.633,0.6142,198,111.5,360x640,0.00171,spark_0319.jpg
Turbothrill (15).mp4,326,10.867,0.6999,198,140.0,360x640,0.00177,spark_0326.jpg
Turbothrill (15).mp4,328,10.933,0.7736,64,30.5,360x640,0.00192,spark_0328.jpg
Turbothrill (15).mp4,330,11.0,0.5835,66,25.5,360x640,0.00218,spark_0330.jpg
Turbothrill (15).mp4,332,11.067,0.4675,73,40.5,360x640,0.00189,spark_0332.jpg
Turbothrill (15).mp4,350,11.667,0.7381,169,122.0,360x640,0.00148,spark_0350.jpg
Turbothrill (15).mp4,366,12.2,0.601,31,17.0,360x640,0.0013,spark_0366.jpg
Turbothrill (15).mp4,435,14.5,0.6204,181,108.5,360x640,0.00153,spark_0435.jpg
