video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (9).mp4,14,0.467,0.669,11,4.0,360x640,0.00126,spark_0014.jpg
Turbothrill (9).mp4,34,1.133,0.8448,209,114.0,360x640,0.0014,spark_0034.jpg
Turbothrill (9).mp4,45,1.5,0.5282,182,143.5,360x640,0.00142,spark_0045.jpg
Turbothrill (9).mp4,47,1.567,0.5121,143,108.5,360x640,0.00134,spark_0047.jpg
Turbothrill (9).mp4,52,1.733,0.8101,315,244.0,360x640,0.00138,spark_0052.jpg
Turbothrill (9).mp4,82,2.733,0.7064,10,4.0,360x640,0.00125,spark_0082.jpg
Turbothrill (9).mp4,106,3.533,0.8202,93,54.5,360x640,0.00143,spark_0106.jpg
Turbothrill (9).mp4,116,3.867,0.4297,122,94.0,360x640,0.00146,spark_0116.jpg
Turbothrill (9).mp4,119,3.967,0.459,30,16.5,360x640,0.00159,spark_0119.jpg
Turbothrill (9).mp4,120,4.0,0.4668,118,87.5,360x640,0.00152,spark_0120.jpg
Turbothrill (9).mp4,125,4.167,0.7585,19,10.0,360x640,0.0013,spark_0125.jpg
Turbothrill (9).mp4,136,4.533,0.8069,72,51.5,360x640,0.00134,spark_0136.jpg
Turbothrill (9).mp4,169,5.633,0.5,29,15.5,360x640,0.00127,spark_0169.jpg
Turbothrill (9).mp4,171,5.7,0.7518,195,131.0,360x640,0.00157,spark_0171.jpg
Turbothrill (9).mp4,173,5.767,0.6288,13,5.5,360x640,0.00159,spark_0173.jpg
Turbothrill (9).mp4,174,5.8,0.6732,282,181.5,360x640,0.00193,spark_0174.jpg
Turbothrill (9).mp4,176,5.867,0.7819,431,276.5,360x640,0.00173,spark_0176.jpg
Turbothrill (9).mp4,178,5.933,0.7019,243,140.0,360x640,0.00166,spark_0178.jpg
Turbothrill (9).mp4,182,6.067,0.6543,218,145.5,360x640,0.00151,spark_0182.jpg
Turbothrill (9).mp4,184,6.133,0.7113,279,203.5,360x640,0.00156,spark_0184.jpg
Turbothrill (9).mp4,186,6.2,0.747,184,123.5,360x640,0.0015,spark_0186.jpg
Turbothrill (9).mp4,190,6.333,0.6812,30,16.5,360x640,0.00147,spark_0190.jpg
Turbothrill (9).mp4,195,6.5,0.7614,153,123.0,360x640,0.00132,spark_0195.jpg
Turbothrill (9).mp4,200,6.667,0.8064,16,9.0,360x640,0.0013,spark_0200.jpg
Turbothrill (9).mp4,205,6.833,0.6259,271,151.5,360x640,0.00176,spark_0205.jpg
Turbothrill (9).mp4,216,7.2,0.6489,147,86.5,360x640,0.00156,spark_0216.jpg
Turbothrill (9).mp4,226,7.533,0.7687,127,72.0,360x640,0.00143,spark_0226.jpg
Turbothrill (9).mp4,229,7.633,0.5026,276,162.0,360x640,0.00151,spark_0229.jpg
Turbothrill (9).mp4,232,7.733,0.4216,17,5.0,360x640,0.00135,spark_0232.jpg
Turbothrill (9).mp4,238,7.933,0.6135,189,125.5,360x640,0.00155,spark_0238.jpg
Turbothrill (9).mp4,244,8.133,0.4135,99,50.0,360x640,0.00148,spark_0244.jpg
Turbothrill (9).mp4,247,8.233,0.6628,140,87.5,360x640,0.00151,spark_0247.jpg
Turbothrill (9).mp4,250,8.333,0.6016,119,61.0,360x640,0.00168,spark_0250.jpg
Turbothrill (9).mp4,254,8.467,0.5051,97,45.0,360x640,0.00165,spark_0254.jpg
Turbothrill (9).mp4,258,8.6,0.6659,189,107.5,360x640,0.00165,spark_0258.jpg
Turbothrill (9).mp4,260,8.667,0.5528,170,111.5,360x640,0.00183,spark_0260.jpg
Turbothrill (9).mp4,265,8.833,0.3013,98,61.5,360x640,0.00141,spark_0265.jpg
Turbothrill (9).mp4,277,9.233,0.5057,216,151.5,360x640,0.00149,spark_0277.jpg
Turbothrill (9).mp4,290,9.667,0.6282,186,113.0,360x640,0.00145,spark_0290.jpg
Turbothrill (9).mp4,306,10.2,0.479,16,6.5,360x640,0.00131,spark_0306.jpg
Turbothrill (9).mp4,316,10.533,0.5949,62,43.0,360x640,0.00138,spark_0316.jpg
Turbothrill (9).mp4,320,10.667,0.6738,80,44.5,360x640,0.00132,spark_0320.jpg
Turbothrill (9).mp4,326,10.867,0.6396,310,174.0,360x640,0.00141,spark_0326.jpg
Turbothrill (9).mp4,329,10.967,0.4711,52,29.5,360x640,0.00132,spark_0329.jpg
