video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (16).mp4,3,0.1,0.374,14,4.5,360x640,0.00229,spark_0003.jpg
Turbothrill (16).mp4,10,0.333,0.7512,135,84.0,360x640,0.00132,spark_0010.jpg
Turbothrill (16).mp4,173,5.767,0.3345,111,71.0,360x640,0.0014,spark_0173.jpg
Turbothrill (16).mp4,194,6.467,0.4632,14,5.0,360x640,0.0013,spark_0194.jpg
Turbothrill (16).mp4,319,10.633,0.5381,28,13.5,360x640,0.00139,spark_0319.jpg
Turbothrill (16).mp4,330,11.0,0.609,13,4.5,360x640,0.00153,spark_0330.jpg
Turbothrill (16).mp4,369,12.3,0.3323,19,7.5,360x640,0.00147,spark_0369.jpg
Turbothrill (16).mp4,384,12.8,0.5571,28,16.5,360x640,0.00146,spark_0384.jpg
Turbothrill (16).mp4,387,12.9,0.7773,73,33.5,360x640,0.00145,spark_0387.jpg
Turbothrill (16).mp4,388,12.933,0.7932,103,65.0,360x640,0.00142,spark_0388.jpg
Turbothrill (16).mp4,395,13.167,0.5265,131,73.0,360x640,0.00131,spark_0395.jpg
Turbothrill (16).mp4,397,13.233,0.8191,290,178.0,360x640,0.00165,spark_0397.jpg
Turbothrill (16).mp4,403,13.433,0.752,89,63.5,360x640,0.00142,spark_0403.jpg
