video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (20).mp4,5,0.167,0.5731,125,92.5,360x640,0.00195,spark_0005.jpg
Turbothrill (20).mp4,36,1.2,0.7453,97,75.0,360x640,0.00135,spark_0036.jpg
Turbothrill (20).mp4,43,1.433,0.4341,17,7.5,360x640,0.00153,spark_0043.jpg
Turbothrill (20).mp4,49,1.633,0.8049,78,55.0,360x640,0.00163,spark_0049.jpg
Turbothrill (20).mp4,96,3.2,0.3149,31,13.0,360x640,0.00132,spark_0096.jpg
Turbothrill (20).mp4,101,3.367,0.7977,18,9.0,360x640,0.00141,spark_0101.jpg
Turbothrill (20).mp4,119,3.967,0.2827,16,5.0,360x640,0.00152,spark_0119.jpg
Turbothrill (20).mp4,130,4.333,0.4674,97,61.5,360x640,0.00132,spark_0130.jpg
Turbothrill (20).mp4,178,5.933,0.6312,24,13.5,360x640,0.00159,spark_0178.jpg
Turbothrill (20).mp4,181,6.033,0.4909,139,108.0,360x640,0.00131,spark_0181.jpg
Turbothrill (20).mp4,189,6.3,0.5694,86,61.0,360x640,0.00129,spark_0189.jpg
Turbothrill (20).mp4,209,6.967,0.7555,24,14.0,360x640,0.00125,spark_0209.jpg
Turbothrill (20).mp4,235,7.833,0.4556,33,13.0,360x640,0.00165,spark_0235.jpg
Turbothrill (20).mp4,239,7.967,0.6158,80,47.5,360x640,0.00177,spark_0239.jpg
Turbothrill (20).mp4,246,8.2,0.7708,45,25.0,360x640,0.00157,spark_0246.jpg
Turbothrill (20).mp4,268,8.933,0.4768,12,4.5,360x640,0.00128,spark_0268.jpg
Turbothrill (20).mp4,300,10.0,0.6596,14,6.0,360x640,0.00121,spark_0300.jpg
