video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (17).mp4,1,0.033,0.6587,68,34.0,360x640,0.0018,spark_0001.jpg
Turbothrill (17).mp4,13,0.433,0.4039,48,29.0,360x640,0.00173,spark_0013.jpg
Turbothrill (17).mp4,23,0.767,0.7676,24,14.0,360x640,0.00158,spark_0023.jpg
Turbothrill (17).mp4,51,1.7,0.7199,16,7.0,360x640,0.00192,spark_0051.jpg
Turbothrill (17).mp4,227,7.567,0.5924,109,56.5,360x640,0.00169,spark_0227.jpg
Turbothrill (17).mp4,233,7.767,0.5674,192,101.0,360x640,0.00163,spark_0233.jpg
Turbothrill (17).mp4,238,7.933,0.835,347,248.0,360x640,0.00164,spark_0238.jpg
Turbothrill (17).mp4,251,8.367,0.6583,72,36.5,360x640,0.00166,spark_0251.jpg
Turbothrill (17).mp4,262,8.733,0.7591,71,50.0,360x640,0.00173,spark_0262.jpg
Turbothrill (17).mp4,268,8.933,0.583,53,31.5,360x640,0.00147,spark_0268.jpg
Turbothrill (17).mp4,279,9.3,0.7982,52,33.5,360x640,0.00137,spark_0279.jpg
Turbothrill (17).mp4,283,9.433,0.5524,28,14.5,360x640,0.00149,spark_0283.jpg
Turbothrill (17).mp4,285,9.5,0.5707,14,6.0,360x640,0.00141,spark_0285.jpg
Turbothrill (17).mp4,286,9.533,0.6841,317,207.0,360x640,0.00156,spark_0286.jpg
Turbothrill (17).mp4,288,9.6,0.745,77,43.0,360x640,0.00175,spark_0288.jpg
Turbothrill (17).mp4,293,9.767,0.5512,29,11.0,360x640,0.00164,spark_0293.jpg
Turbothrill (17).mp4,300,10.0,0.3473,15,4.5,360x640,0.00153,spark_0300.jpg
Turbothrill (17).mp4,303,10.1,0.6445,99,72.5,360x640,0.00173,spark_0303.jpg
Turbothrill (17).mp4,307,10.233,0.596,157,91.5,360x640,0.00148,spark_0307.jpg
Turbothrill (17).mp4,318,10.6,0.7211,177,110.0,360x640,0.00148,spark_0318.jpg
Turbothrill (17).mp4,332,11.067,0.7198,42,22.5,360x640,0.00149,spark_0332.jpg
Turbothrill (17).mp4,345,11.5,0.3143,35,14.5,360x640,0.00171,spark_0345.jpg
Turbothrill (17).mp4,360,12.0,0.7119,103,58.0,360x640,0.0015,spark_0360.jpg
Turbothrill (17).mp4,370,12.333,0.6609,54,26.0,360x640,0.00167,spark_0370.jpg
Turbothrill (17).mp4,373,12.433,0.7572,114,70.0,360x640,0.0018,spark_0373.jpg
Turbothrill (17).mp4,375,12.5,0.5227,18,8.0,360x640,0.00178,spark_0375.jpg
Turbothrill (17).mp4,377,12.567,0.5042,72,45.0,360x640,0.00178,spark_0377.jpg
Turbothrill (17).mp4,380,12.667,0.4711,247,145.0,360x640,0.00205,spark_0380.jpg
Turbothrill (17).mp4,382,12.733,0.4107,92,51.5,360x640,0.00143,spark_0382.jpg
Turbothrill (17).mp4,384,12.8,0.5346,42,26.0,360x640,0.00143,spark_0384.jpg
Turbothrill (17).mp4,386,12.867,0.5573,72,44.5,360x640,0.00171,spark_0386.jpg
Turbothrill (17).mp4,388,12.933,0.7733,96,50.0,360x640,0.00191,spark_0388.jpg
Turbothrill (17).mp4,392,13.067,0.6527,63,43.0,360x640,0.00158,spark_0392.jpg
Turbothrill (17).mp4,396,13.2,0.7058,241,171.0,360x640,0.00271,spark_0396.jpg
Turbothrill (17).mp4,402,13.4,0.7894,111,77.5,360x640,0.0019,spark_0402.jpg
Turbothrill (17).mp4,405,13.5,0.4553,84,47.5,360x640,0.00225,spark_0405.jpg
Turbothrill (17).mp4,408,13.6,0.4029,72,42.0,360x640,0.002,spark_0408.jpg
Turbothrill (17).mp4,415,13.833,0.4948,202,90.5,360x640,0.00136,spark_0415.jpg
Turbothrill (17).mp4,418,13.933,0.5513,175,109.5,360x640,0.00155,spark_0418.jpg
Turbothrill (17).mp4,422,14.067,0.653,109,80.0,360x640,0.00137,spark_0422.jpg
Turbothrill (17).mp4,426,14.2,0.5558,137,82.5,360x640,0.00156,spark_0426.jpg
Turbothrill (17).mp4,428,14.267,0.586,118,80.5,360x640,0.00136,spark_0428.jpg
Turbothrill (17).mp4,434,14.467,0.7837,259,182.5,360x640,0.00153,spark_0434.jpg
Turbothrill (17).mp4,441,14.7,0.6537,281,193.0,360x640,0.00154,spark_0441.jpg
