video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (5).mp4,8,0.267,0.3429,30,14.0,360x640,0.00131,spark_0008.jpg
Turbothrill (5).mp4,128,4.267,0.5634,171,134.5,360x640,0.00127,spark_0128.jpg
Turbothrill (5).mp4,183,6.1,0.5193,131,91.0,360x640,0.00129,spark_0183.jpg
Turbothrill (5).mp4,186,6.2,0.7812,87,66.0,360x640,0.00132,spark_0186.jpg
Turbothrill (5).mp4,191,6.367,0.3974,147,102.0,360x640,0.00122,spark_0191.jpg
Turbothrill (5).mp4,194,6.467,0.6472,64,45.0,360x640,0.00153,spark_0194.jpg
Turbothrill (5).mp4,202,6.733,0.6228,184,144.5,360x640,0.00124,spark_0202.jpg
Turbothrill (5).mp4,213,7.1,0.3858,17,5.0,360x640,0.00125,spark_0213.jpg
