video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (2).mp4,55,1.833,0.6631,62,42.0,360x640,0.00134,spark_0055.jpg
Turbothrill (2).mp4,83,2.767,0.5908,25,13.5,360x640,0.00165,spark_0083.jpg
Turbothrill (2).mp4,89,2.967,0.6394,53,37.0,360x640,0.00131,spark_0089.jpg
Turbothrill (2).mp4,95,3.167,0.693,150,119.0,360x640,0.00123,spark_0095.jpg
Turbothrill (2).mp4,101,3.367,0.6453,150,109.5,360x640,0.00157,spark_0101.jpg
Turbothrill (2).mp4,108,3.6,0.7518,83,55.0,360x640,0.00159,spark_0108.jpg
Turbothrill (2).mp4,115,3.833,0.7534,33,17.5,360x640,0.00137,spark_0115.jpg
Turbothrill (2).mp4,132,4.4,0.7652,191,121.0,360x640,0.00157,spark_0132.jpg
Turbothrill (2).mp4,138,4.6,0.6641,245,137.0,360x640,0.00223,spark_0138.jpg
Turbothrill (2).mp4,139,4.633,0.7712,225,150.5,360x640,0.00267,spark_0139.jpg
Turbothrill (2).mp4,141,4.7,0.7825,23,14.0,360x640,0.00162,spark_0141.jpg
Turbothrill (2).mp4,154,5.133,0.4211,417,233.0,360x640,0.00176,spark_0154.jpg
Turbothrill (2).mp4,157,5.233,0.7118,80,60.5,360x640,0.0016,spark_0157.jpg
Turbothrill (2).mp4,161,5.367,0.6944,440,316.5,360x640,0.00179,spark_0161.jpg
Turbothrill (2).mp4,164,5.467,0.548,84,26.5,360x640,0.0019,spark_0164.jpg
Turbothrill (2).mp4,168,5.6,0.5627,30,18.0,360x640,0.00158,spark_0168.jpg
Turbothrill (2).mp4,173,5.767,0.5622,79,43.5,360x640,0.00166,spark_0173.jpg
Turbothrill (2).mp4,176,5.867,0.4039,46,15.0,360x640,0.0015,spark_0176.jpg
Turbothrill (2).mp4,204,6.8,0.5721,104,67.5,360x640,0.0016,spark_0204.jpg
Turbothrill (2).mp4,222,7.4,0.4793,68,42.0,360x640,0.00145,spark_0222.jpg
Turbothrill (2).mp4,225,7.5,0.5271,18,8.5,360x640,0.0014,spark_0225.jpg
Turbothrill (2).mp4,235,7.833,0.3447,24,11.0,360x640,0.00145,spark_0235.jpg
Turbothrill (2).mp4,242,8.067,0.7672,82,63.5,360x640,0.00143,spark_0242.jpg
Turbothrill (2).mp4,254,8.467,0.7015,60,37.0,360x640,0.00153,spark_0254.jpg
Turbothrill (2).mp4,263,8.767,0.7616,87,58.0,360x640,0.00149,spark_0263.jpg
Turbothrill (2).mp4,265,8.833,0.621,108,88.0,360x640,0.00167,spark_0265.jpg
Turbothrill (2).mp4,274,9.133,0.5932,133,92.0,360x640,0.00151,spark_0274.jpg
Turbothrill (2).mp4,276,9.2,0.6916,151,123.5,360x640,0.00146,spark_0276.jpg
Turbothrill (2).mp4,295,9.833,0.5082,142,107.5,360x640,0.00151,spark_0295.jpg
