video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (7).mp4,1,0.033,0.7782,212,125.5,360x640,0.00208,spark_0001.jpg
Turbothrill (7).mp4,55,1.833,0.557,167,126.0,360x640,0.00163,spark_0055.jpg
Turbothrill (7).mp4,61,2.033,0.7361,14,6.5,360x640,0.00128,spark_0061.jpg
Turbothrill (7).mp4,74,2.467,0.6014,210,115.5,360x640,0.0016,spark_0074.jpg
Turbothrill (7).mp4,87,2.9,0.5645,182,115.0,360x640,0.00162,spark_0087.jpg
Turbothrill (7).mp4,90,3.0,0.7301,148,114.0,360x640,0.00163,spark_0090.jpg
Turbothrill (7).mp4,157,5.233,0.4752,27,14.0,360x640,0.00184,spark_0157.jpg
Turbothrill (7).mp4,200,6.667,0.5766,40,25.0,360x640,0.00123,spark_0200.jpg
Turbothrill (7).mp4,207,6.9,0.5634,151,101.0,360x640,0.00148,spark_0207.jpg
Turbothrill (7).mp4,210,7.0,0.4376,322,225.0,360x640,0.0019,spark_0210.jpg
Turbothrill (7).mp4,212,7.067,0.5201,94,53.0,360x640,0.00144,spark_0212.jpg
Turbothrill (7).mp4,215,7.167,0.2823,23,6.5,360x640,0.00149,spark_0215.jpg
Turbothrill (7).mp4,227,7.567,0.7242,20,11.5,360x640,0.00144,spark_0227.jpg
Turbothrill (7).mp4,237,7.9,0.5529,55,35.0,360x640,0.00163,spark_0237.jpg
Turbothrill (7).mp4,260,8.667,0.7167,307,164.5,360x640,0.00175,spark_0260.jpg
Turbothrill (7).mp4,269,8.967,0.7626,1841,1108.5,360x640,0.00315,spark_0269.jpg
Turbothrill (7).mp4,292,9.733,0.4157,16,4.0,360x640,0.00153,spark_0292.jpg
Turbothrill (7).mp4,335,11.167,0.5095,77,49.5,360x640,0.00155,spark_0335.jpg
Turbothrill (7).mp4,346,11.533,0.5682,46,20.5,360x640,0.00211,spark_0346.jpg
Turbothrill (7).mp4,357,11.9,0.5905,101,50.0,360x640,0.00158,spark_0357.jpg
Turbothrill (7).mp4,362,12.067,0.7502,42,21.0,360x640,0.00173,spark_0362.jpg
Turbothrill (7).mp4,365,12.167,0.8209,31,20.5,360x640,0.0017,spark_0365.jpg
Turbothrill (7).mp4,378,12.6,0.4137,39,21.0,360x640,0.00136,spark_0378.jpg
Turbothrill (7).mp4,400,13.333,0.4007,78,25.5,360x640,0.0012,spark_0400.jpg
