video_name,frame_number,timestamp_seconds,spark_confidence,spark_pixel_count,spark_area,resolution,processing_time_seconds,saved_path
Turbothrill (19).mp4,4,0.133,0.7213,11,4.5,360x640,0.00141,spark_0004.jpg
Turbothrill (19).mp4,45,1.5,0.6945,66,47.5,360x640,0.00137,spark_0045.jpg
Turbothrill (19).mp4,107,3.567,0.4194,36,18.0,360x640,0.00172,spark_0107.jpg
Turbothrill (19).mp4,152,5.067,0.6825,40,24.0,360x640,0.00143,spark_0152.jpg
Turbothrill (19).mp4,165,5.5,0.4611,125,76.0,360x640,0.00157,spark_0165.jpg
Turbothrill (19).mp4,175,5.833,0.6817,116,90.0,360x640,0.00136,spark_0175.jpg
Turbothrill (19).mp4,185,6.167,0.7323,83,59.0,360x640,0.00159,spark_0185.jpg
Turbothrill (19).mp4,193,6.433,0.7845,11,4.5,360x640,0.00152,spark_0193.jpg
Turbothrill (19).mp4,207,6.9,0.757,345,227.0,360x640,0.00154,spark_0207.jpg
Turbothrill (19).mp4,213,7.1,0.7315,63,37.0,360x640,0.00161,spark_0213.jpg
Turbothrill (19).mp4,216,7.2,0.56,52,32.5,360x640,0.00161,spark_0216.jpg
Turbothrill (19).mp4,221,7.367,0.5564,13,4.5,360x640,0.00144,spark_0221.jpg
Turbothrill (19).mp4,229,7.633,0.7129,30,18.5,360x640,0.00163,spark_0229.jpg
Turbothrill (19).mp4,233,7.767,0.6058,31,18.5,360x640,0.00136,spark_0233.jpg
Turbothrill (19).mp4,236,7.867,0.733,30,19.0,360x640,0.00136,spark_0236.jpg
Turbothrill (19).mp4,257,8.567,0.5407,36,21.0,360x640,0.00126,spark_0257.jpg
Turbothrill (19).mp4,273,9.1,0.5781,58,31.0,360x640,0.00132,spark_0273.jpg
Turbothrill (19).mp4,278,9.267,0.6797,33,18.0,360x640,0.00141,spark_0278.jpg
Turbothrill (19).mp4,283,9.433,0.493,30,12.0,360x640,0.00135,spark_0283.jpg
Turbothrill (19).mp4,286,9.533,0.5351,31,17.5,360x640,0.00124,spark_0286.jpg
Turbothrill (19).mp4,291,9.7,0.6036,31,18.0,360x640,0.00159,spark_0291.jpg
Turbothrill (19).mp4,295,9.833,0.518,39,22.5,360x640,0.00159,spark_0295.jpg
Turbothrill (19).mp4,300,10.0,0.5883,165,125.5,360x640,0.0014,spark_0300.jpg
Turbothrill (19).mp4,303,10.1,0.4301,234,146.5,360x640,0.00156,spark_0303.jpg
Turbothrill (19).mp4,307,10.233,0.3853,100,65.5,360x640,0.00131,spark_0307.jpg
Turbothrill (19).mp4,313,10.433,0.6917,53,37.0,360x640,0.00172,spark_0313.jpg
Turbothrill (19).mp4,329,10.967,0.4874,38,19.0,360x640,0.00142,spark_0329.jpg
Turbothrill (19).mp4,343,11.433,0.5662,25,13.5,360x640,0.00122,spark_0343.jpg
Turbothrill (19).mp4,365,12.167,0.5671,70,33.5,360x640,0.00149,spark_0365.jpg
Turbothrill (19).mp4,377,12.567,0.3371,129,80.0,360x640,0.00186,spark_0377.jpg
Turbothrill (19).mp4,380,12.667,0.7722,14,6.5,360x640,0.00193,spark_0380.jpg
Turbothrill (19).mp4,394,13.133,0.7843,433,240.0,360x640,0.00155,spark_0394.jpg
Turbothrill (19).mp4,396,13.2,0.7679,188,110.5,360x640,0.00182,spark_0396.jpg
Turbothrill (19).mp4,410,13.667,0.7568,35,18.5,360x640,0.00133,spark_0410.jpg
Turbothrill (19).mp4,432,14.4,0.813,30,19.5,360x640,0.0013,spark_0432.jpg
Turbothrill (19).mp4,437,14.567,0.5707,32,17.0,360x640,0.00127,spark_0437.jpg
Turbothrill (19).mp4,450,15.0,0.6334,27,13.0,360x640,0.00121,spark_0450.jpg
Turbothrill (19).mp4,473,15.767,0.3872,207,148.5,360x640,0.00125,spark_0473.jpg
